 2022-06-18 21:33:41,156 - 'h'
 2022-06-18 21:33:41,582 - Key.enter
 2022-06-18 21:33:43,608 - 'h'
 2022-06-18 21:33:43,791 - 'e'
 2022-06-18 21:33:44,041 - 'l'
 2022-06-18 21:33:44,227 - 'l'
 2022-06-18 21:33:44,523 - 'o'
 2022-06-18 21:33:45,059 - Key.enter
 2022-06-18 21:33:47,997 - 'd'
 2022-06-18 21:33:50,368 - Key.backspace
 2022-06-18 21:33:51,144 - 't'
 2022-06-18 21:33:51,285 - 'r'
 2022-06-18 21:33:51,498 - 'y'
 2022-06-18 21:33:52,256 - 'i'
 2022-06-18 21:33:52,500 - 'n'
 2022-06-18 21:33:52,762 - 'g'
 2022-06-18 21:33:53,259 - Key.enter
 2022-06-18 21:33:53,756 - Key.backspace
 2022-06-18 21:33:53,929 - Key.backspace
 2022-06-18 21:33:54,095 - Key.backspace
 2022-06-18 21:33:54,265 - Key.backspace
 2022-06-18 21:33:54,426 - Key.backspace
 2022-06-18 21:33:54,756 - Key.backspace
 2022-06-18 21:33:55,075 - Key.backspace
 2022-06-18 21:34:02,799 - Key.cmd
 2022-06-18 21:34:03,082 - Key.shift
 2022-06-18 21:34:03,378 - '3'
 2022-06-18 21:34:08,608 - Key.cmd
 2022-06-18 21:34:08,839 - Key.shift
 2022-06-18 21:34:09,092 - '3'
